deviceValue,deviceParameter,deviceId,dateTime
26.257696630110566,Temperature,SBS01,2021-03-11 19:45:01
69.75046551821366,Flow,SBS04,2021-03-11 19:45:05
74.40680044354316,Flow,SBS05,2021-03-11 19:45:09
20.35641314317729,Temperature,SBS01,2021-03-11 19:45:21
88.94554982372402,Flow,SBS02,2021-03-11 19:45:23
93.23958078523543,Flow,SBS04,2021-03-11 19:45:25
17.73253746404246,Temperature,SBS03,2021-03-11 19:45:27
97.59912064041862,Flow,SBS04,2021-03-11 19:45:29
99.76683032849667,Flow,SBS02,2021-03-11 19:45:35
64.45706047771053,Flow,SBS02,2021-03-11 19:45:37
17.765857552206604,Temperature,SBS05,2021-03-11 19:45:41
20.837067296448527,Temperature,SBS04,2021-03-11 19:45:45
34.78721599435163,Temperature,SBS04,2021-03-11 19:45:51
60.63114495111811,Flow,SBS05,2021-03-11 19:45:53
63.60160945620996,Flow,SBS05,2021-03-11 19:45:57
31.046027363650126,Temperature,SBS02,2021-03-11 19:45:59
17.452879505406557,Temperature,SBS04,2021-03-11 19:46:03
69.10342900818884,Flow,SBS03,2021-03-11 19:46:11
34.19685315727687,Temperature,SBS02,2021-03-11 19:46:15
19.277919565931406,Temperature,SBS02,2021-03-11 19:46:19
93.58695533442364,Flow,SBS04,2021-03-11 19:46:21
29.72811621593111,Temperature,SBS04,2021-03-11 19:46:23
91.70360721855121,Flow,SBS05,2021-03-11 19:46:39
31.929469609955532,Temperature,SBS05,2021-03-11 19:46:47
96.74474499898966,Flow,SBS04,2021-03-11 19:46:55
16.800584450148584,Temperature,SBS01,2021-03-11 19:46:57
94.23360420554538,Flow,SBS03,2021-03-11 19:47:07
92.82794672218503,Flow,SBS02,2021-03-11 19:47:11
24.97130299925034,Temperature,SBS03,2021-03-11 19:47:13
67.4000341975521,Flow,SBS02,2021-03-11 19:47:19
72.75698249380119,Flow,SBS02,2021-03-11 19:47:21
32.89790092458116,Temperature,SBS01,2021-03-11 19:47:23
32.37368202535427,Temperature,SBS05,2021-03-11 19:47:27
90.81292335201881,Flow,SBS04,2021-03-11 19:47:31
23.1457934338609,Temperature,SBS04,2021-03-11 19:47:33
71.7966633834589,Flow,SBS01,2021-03-11 19:47:37
28.80063364333871,Temperature,SBS05,2021-03-11 19:47:39
34.441714127468174,Temperature,SBS01,2021-03-11 19:47:43
21.795958219857248,Temperature,SBS02,2021-03-11 19:47:49
73.66497636419858,Flow,SBS04,2021-03-11 19:47:51
81.57383182183567,Flow,SBS05,2021-03-11 19:47:57
83.85458388448504,Flow,SBS04,2021-03-11 19:48:03
65.85094740209784,Flow,SBS02,2021-03-11 19:48:09
27.60520862674943,Temperature,SBS05,2021-03-11 19:48:15
98.2422630961257,Flow,SBS05,2021-03-11 19:48:19
30.773020133875658,Temperature,SBS04,2021-03-11 19:48:21
65.73711843353347,Flow,SBS03,2021-03-11 19:48:25
26.492795562810368,Temperature,SBS03,2021-03-11 19:48:27
20.61539483896922,Temperature,SBS04,2021-03-11 19:48:31
30.638264604636305,Temperature,SBS02,2021-03-11 19:48:33
15.62658534625745,Temperature,SBS04,2021-03-11 19:48:35
81.49875545304187,Flow,SBS03,2021-03-11 19:48:37
28.346992061619474,Temperature,SBS02,2021-03-11 19:48:41
33.56109026765615,Temperature,SBS04,2021-03-11 19:48:43
33.44268708011487,Temperature,SBS01,2021-03-11 19:48:45
29.612255004603057,Temperature,SBS04,2021-03-11 19:48:51
17.120499285973025,Temperature,SBS01,2021-03-11 19:48:55
93.55115114158306,Flow,SBS04,2021-03-11 19:49:01
72.2977571617044,Flow,SBS04,2021-03-11 19:49:05
25.515023664480175,Temperature,SBS01,2021-03-11 19:49:09
25.7509188204709,Temperature,SBS04,2021-03-11 19:49:13
69.20188424280036,Flow,SBS04,2021-03-11 19:49:15
70.47880651095521,Flow,SBS01,2021-03-11 19:49:23
89.9050777437643,Flow,SBS04,2021-03-11 19:49:31
70.28290049538718,Flow,SBS04,2021-03-11 19:49:41
94.7346590723573,Flow,SBS01,2021-03-11 19:49:53
81.5850296446377,Flow,SBS05,2021-03-11 19:49:57
62.58765155143254,Flow,SBS01,2021-03-11 19:49:59
19.523843057769,Temperature,SBS03,2021-03-11 19:50:07
30.351755975750557,Temperature,SBS04,2021-03-11 19:50:11
76.84151154736892,Flow,SBS02,2021-03-11 19:50:13
97.42971888780734,Flow,SBS02,2021-03-11 19:50:23
23.803860787196932,Temperature,SBS03,2021-03-11 19:50:27
63.14356523158007,Flow,SBS05,2021-03-11 19:50:29
81.18732962693775,Flow,SBS02,2021-03-11 19:50:31
26.102031999576212,Temperature,SBS05,2021-03-11 19:50:33
22.538890929600697,Temperature,SBS01,2021-03-11 19:50:49
34.09539144382771,Temperature,SBS04,2021-03-11 19:50:59
34.49683865200434,Temperature,SBS04,2021-03-11 19:51:07
19.697593003311052,Temperature,SBS03,2021-03-11 19:51:11
29.120131058867752,Temperature,SBS01,2021-03-11 19:51:15
19.14623889218799,Temperature,SBS05,2021-03-11 19:51:17
18.330093822762827,Temperature,SBS04,2021-03-11 19:51:21
80.3189359535522,Flow,SBS03,2021-03-11 19:51:25
17.049069323164574,Temperature,SBS02,2021-03-11 19:51:27
29.262283433223004,Temperature,SBS01,2021-03-11 19:51:29
19.70592881721157,Temperature,SBS01,2021-03-11 19:51:33
33.80813733523506,Temperature,SBS01,2021-03-11 19:51:37
26.517983477655925,Temperature,SBS03,2021-03-11 19:51:39
24.294465110678033,Temperature,SBS03,2021-03-11 19:51:41
29.303783945754184,Temperature,SBS03,2021-03-11 19:51:43
20.13606548800304,Temperature,SBS04,2021-03-11 19:51:49
31.190395176812498,Temperature,SBS03,2021-03-11 19:51:51
26.070711615008506,Temperature,SBS03,2021-03-11 19:51:57
88.96576640915953,Flow,SBS03,2021-03-11 19:51:59
27.88836502613308,Temperature,SBS02,2021-03-11 19:52:01
34.750846211622246,Temperature,SBS05,2021-03-11 19:52:03
91.43669643554219,Flow,SBS01,2021-03-11 19:52:08
74.88601636635008,Flow,SBS03,2021-03-11 19:52:12
92.48780733219454,Flow,SBS03,2021-03-11 19:52:16
61.40626485206362,Flow,SBS04,2021-03-11 19:52:20
66.49785647033474,Flow,SBS05,2021-03-11 19:52:28
15.841260928678329,Temperature,SBS02,2021-03-11 19:52:32
16.86251523766025,Temperature,SBS05,2021-03-11 19:52:40
76.06068880530653,Flow,SBS03,2021-03-11 19:52:42
18.445184775956044,Temperature,SBS03,2021-03-11 19:52:44
96.81478355357652,Flow,SBS05,2021-03-11 19:52:50
93.09110388797615,Flow,SBS02,2021-03-11 19:52:52
71.6602758582487,Flow,SBS04,2021-03-11 19:52:56
22.033075321149425,Temperature,SBS05,2021-03-11 19:53:00
63.67329271063441,Flow,SBS03,2021-03-11 19:53:02
18.628834336692208,Temperature,SBS04,2021-03-11 19:53:08
69.91657509006617,Flow,SBS02,2021-03-11 19:53:10
81.80447009992434,Flow,SBS05,2021-03-11 19:53:14
24.103277129986335,Temperature,SBS02,2021-03-11 19:53:16
62.172090343973274,Flow,SBS03,2021-03-11 19:53:24
16.718187129588205,Temperature,SBS03,2021-03-11 19:53:30
83.43330034394972,Flow,SBS05,2021-03-11 19:53:32
60.593606543923535,Flow,SBS04,2021-03-11 19:53:38
90.81373905355619,Flow,SBS03,2021-03-11 19:53:40
81.07349166499762,Flow,SBS01,2021-03-11 19:53:42
27.306318893113417,Temperature,SBS03,2021-03-11 19:53:44
94.15187988709634,Flow,SBS04,2021-03-11 19:53:46
83.14093741126925,Flow,SBS03,2021-03-11 19:53:52
92.54931126533351,Flow,SBS02,2021-03-11 19:53:56
68.55281558823171,Flow,SBS03,2021-03-11 19:54:00
21.574403227427283,Temperature,SBS05,2021-03-11 19:54:04
15.457425145076282,Temperature,SBS01,2021-03-11 19:54:10
17.10839986911676,Temperature,SBS05,2021-03-11 19:54:12
23.228136367168094,Temperature,SBS03,2021-03-11 19:54:18
23.469758032661044,Temperature,SBS05,2021-03-11 19:54:22
83.86933107633254,Flow,SBS02,2021-03-11 19:54:26
25.653935862611448,Temperature,SBS03,2021-03-11 19:54:28
27.536382109197444,Temperature,SBS04,2021-03-11 19:54:32
98.19700554144856,Flow,SBS01,2021-03-11 19:54:34
29.045363390479796,Temperature,SBS05,2021-03-11 19:54:38
79.11066535051205,Flow,SBS04,2021-03-11 19:54:42
68.43680502547741,Flow,SBS02,2021-03-11 19:54:44
94.80672983089866,Flow,SBS02,2021-03-11 19:54:48
99.39205187760577,Flow,SBS02,2021-03-11 19:54:50
89.28415199438422,Flow,SBS03,2021-03-11 19:54:56
96.99806876835787,Flow,SBS02,2021-03-11 19:54:58
16.361189329061332,Temperature,SBS02,2021-03-11 19:55:00
18.559941293269738,Temperature,SBS04,2021-03-11 19:55:06
24.609882777249602,Temperature,SBS03,2021-03-11 19:55:12
29.940993893794765,Temperature,SBS05,2021-03-11 19:55:14
29.288026038577996,Temperature,SBS04,2021-03-11 19:55:20
20.0564072312773,Temperature,SBS02,2021-03-11 19:55:22
15.81605233977912,Temperature,SBS01,2021-03-11 19:55:26
27.661243872326516,Temperature,SBS04,2021-03-11 19:55:32
92.86695845463149,Flow,SBS04,2021-03-11 19:55:34
29.02242007838323,Temperature,SBS02,2021-03-11 19:55:38
79.88249978590792,Flow,SBS02,2021-03-11 19:56:08
19.23765060910076,Temperature,SBS04,2021-03-11 19:56:10
17.783035295418564,Temperature,SBS01,2021-03-11 19:56:16
92.745956996952,Flow,SBS04,2021-03-11 19:56:20
32.9570587828914,Temperature,SBS02,2021-03-11 19:56:22
98.41332651092422,Flow,SBS03,2021-03-11 19:56:26
64.99733557080897,Flow,SBS05,2021-03-11 19:56:30
65.11356264623304,Flow,SBS03,2021-03-11 19:56:32
88.72540633567891,Flow,SBS05,2021-03-11 19:56:34
29.616606051808926,Temperature,SBS02,2021-03-11 19:56:36
29.542207118397595,Temperature,SBS03,2021-03-11 19:56:38
65.75711876881873,Flow,SBS03,2021-03-11 19:56:40
82.5216045012038,Flow,SBS01,2021-03-11 19:56:42
22.68220704575245,Temperature,SBS05,2021-03-11 19:56:46
96.64776595936142,Flow,SBS02,2021-03-11 19:56:48
18.620768632172954,Temperature,SBS01,2021-03-11 19:56:52
84.18683733034338,Flow,SBS03,2021-03-11 19:56:54
32.18136177941858,Temperature,SBS01,2021-03-11 19:56:56
66.99515381585312,Flow,SBS04,2021-03-11 19:57:02
16.911607958756278,Temperature,SBS03,2021-03-11 19:57:04
82.44603215785096,Flow,SBS03,2021-03-11 19:57:08
31.891768844814973,Temperature,SBS01,2021-03-11 19:57:10
87.21145380214158,Flow,SBS05,2021-03-11 19:57:18
31.229259859183824,Temperature,SBS03,2021-03-11 19:57:20
98.57181919135667,Flow,SBS04,2021-03-11 19:57:22
95.40155535363681,Flow,SBS02,2021-03-11 19:57:32
79.78039095477413,Flow,SBS01,2021-03-11 19:57:36
93.57325377337497,Flow,SBS01,2021-03-11 19:57:44
24.278177763489488,Temperature,SBS05,2021-03-11 19:57:54
60.83941461639624,Flow,SBS03,2021-03-11 19:57:56
34.278179325061075,Temperature,SBS03,2021-03-11 19:58:06
67.47228996373494,Flow,SBS04,2021-03-11 19:58:08
20.715684003382382,Temperature,SBS04,2021-03-11 19:58:12
94.22802574347145,Flow,SBS04,2021-03-11 19:58:14
31.08876128284836,Temperature,SBS01,2021-03-11 19:58:18
65.86388422140692,Flow,SBS03,2021-03-11 19:58:24
22.727829893206568,Temperature,SBS02,2021-03-11 19:58:38
23.434858169451612,Temperature,SBS02,2021-03-11 19:58:40
64.7480528601066,Flow,SBS02,2021-03-11 19:58:44
24.405737330592817,Temperature,SBS05,2021-03-11 19:58:46
17.312770787939687,Temperature,SBS03,2021-03-11 19:58:48
94.16014592881317,Flow,SBS05,2021-03-11 19:58:50
29.01355843654614,Temperature,SBS01,2021-03-11 19:58:54
86.57517409297785,Flow,SBS01,2021-03-11 19:58:56
19.986670846613936,Temperature,SBS04,2021-03-11 19:59:02
76.3291111826382,Flow,SBS04,2021-03-11 19:59:06
34.767541904882336,Temperature,SBS01,2021-03-11 19:59:08
90.89136321840769,Flow,SBS02,2021-03-11 19:59:12
72.56603063773997,Flow,SBS01,2021-03-11 19:59:14
24.151477280215865,Temperature,SBS03,2021-03-11 19:59:18
29.476069783967652,Temperature,SBS01,2021-03-11 19:59:20
22.391786344158632,Temperature,SBS04,2021-03-11 19:59:22
93.85393256657402,Flow,SBS02,2021-03-11 19:59:28
96.82975475326364,Flow,SBS05,2021-03-11 19:59:30
31.878282392856704,Temperature,SBS04,2021-03-11 19:59:32
33.544621331550175,Temperature,SBS02,2021-03-11 19:59:34
97.97551867921116,Flow,SBS04,2021-03-11 19:59:36
91.64698444762948,Flow,SBS04,2021-03-11 19:59:38
27.8933234122297,Temperature,SBS04,2021-03-11 19:59:40
69.91253018523652,Flow,SBS05,2021-03-11 19:59:42
30.873852442840363,Temperature,SBS02,2021-03-11 19:59:44
86.48375483587932,Flow,SBS02,2021-03-11 19:59:46
87.7097620546551,Flow,SBS03,2021-03-11 19:59:48
16.21365232445756,Temperature,SBS01,2021-03-11 19:59:50
80.55536711961071,Flow,SBS01,2021-03-11 19:59:52
85.14621048932125,Flow,SBS03,2021-03-11 19:59:56
29.44057647438743,Temperature,SBS03,2021-03-11 20:00:02
71.214580083274,Flow,SBS04,2021-03-11 20:00:08
89.56866977012564,Flow,SBS05,2021-03-11 20:00:14
89.04777245626056,Flow,SBS01,2021-03-11 20:00:16
82.23013578460186,Flow,SBS01,2021-03-11 20:00:18
67.56212797445328,Flow,SBS05,2021-03-11 20:00:22
