deviceValue,deviceParameter,deviceId,dateTime
24.274119035698227,Temperature,SBS03,1615449650204
22.36239485899847,Temperature,SBS04,1615449656218
26.35859407550583,Temperature,SBS02,1615449658219
17.5025162652528,Temperature,SBS01,1615449660220
26.166591272281043,Temperature,SBS01,1615449662226
28.07145963588634,Temperature,SBS05,1615449664229
32.49985605911297,Temperature,SBS03,1615449668237
23.173477171421574,Temperature,SBS02,1615449676256
96.7763648856725,Flow,SBS03,1615449680258
30.412108815903242,Temperature,SBS03,1615449686271
78.43717575281266,Flow,SBS02,1615449692287
34.7120147761824,Temperature,SBS03,1615449694292
93.48395977138307,Flow,SBS03,1615449700304
64.152607286901,Flow,SBS01,1615449702305
32.16671277723314,Temperature,SBS05,1615449704311
87.57301391024899,Flow,SBS01,1615449710320
72.6425726184163,Flow,SBS01,1615449714323
82.01014581185336,Flow,SBS01,1615449722340
24.548589415027116,Temperature,SBS03,1615449724343
91.85012224850993,Flow,SBS01,1615449726345
25.95714149976843,Temperature,SBS05,1615449738365
26.507301858564787,Temperature,SBS01,1615449740365
26.61751583026122,Temperature,SBS04,1615449746380
65.33067811632867,Flow,SBS02,1615449750388
30.500011313044205,Temperature,SBS05,1615449752394
24.98818664939928,Temperature,SBS01,1615449764414
68.60192108367437,Flow,SBS01,1615449766416
86.67381686358165,Flow,SBS03,1615449770422
17.940083696939894,Temperature,SBS04,1615449772423
24.768036664413856,Temperature,SBS05,1615449774428
27.12447481909897,Temperature,SBS02,1615449776430
73.81902426802681,Flow,SBS01,1615449786442
27.828272339134195,Temperature,SBS04,1615449788443
77.68597183606248,Flow,SBS05,1615449790443
86.78346523325649,Flow,SBS03,1615449796456
22.596095938985652,Temperature,SBS05,1615449804471
81.15999985824809,Flow,SBS01,1615449806477
83.7984457508573,Flow,SBS03,1615449812493
84.2583180035266,Flow,SBS05,1615449816501
94.8358228203578,Flow,SBS01,1615449818506
20.219718425448097,Temperature,SBS04,1615449822509
27.39963336782357,Temperature,SBS04,1615449824515
93.17769891046319,Flow,SBS03,1615449826517
87.20894332956145,Flow,SBS02,1615449832523
33.303318504817234,Temperature,SBS01,1615449836529
15.166718338732977,Temperature,SBS02,1615449840539
89.68687374679317,Flow,SBS04,1615449842542
29.483677658800413,Temperature,SBS03,1615449850548
17.59768061430509,Temperature,SBS02,1615449862571
29.213198330237486,Temperature,SBS02,1615449864573
19.065145562500568,Temperature,SBS05,1615449866575
99.88850035279185,Flow,SBS03,1615449870582
95.33084036190607,Flow,SBS01,1615449874591
76.47180451786066,Flow,SBS05,1615449876593
31.386240360205598,Temperature,SBS03,1615449884607
17.039853270190406,Temperature,SBS01,1615449896630
64.30322862278048,Flow,SBS03,1615449898631
